Family,File,Nodes,Algorithm,AvgTime_ms
Long-C,Long-C.9.0.gr,1048576,dial-random,19157.17
Long-C,Long-C.10.0.gr,1048576,dijkstra-single,230.81
Long-C,Long-C.10.0.gr,1048576,dijkstra-random,226.98
Long-C,Long-C.10.0.gr,1048576,radixheap-single,310.57
Long-C,Long-C.10.0.gr,1048576,radixheap-random,306.1
Long-C,Long-C.10.0.gr,1048576,dial-single,59999.86
Long-C,Long-C.10.0.gr,1048576,dial-random,TIMEOUT/ERR
Long-C,Long-C.11.0.gr,1048576,dijkstra-single,233.19
Long-C,Long-C.11.0.gr,1048576,dijkstra-random,219.02
Long-C,Long-C.11.0.gr,1048576,radixheap-single,314.0
Long-C,Long-C.11.0.gr,1048576,radixheap-random,309.78
Long-C,Long-C.11.0.gr,1048576,dial-single,TIMEOUT/ERR
Long-C,Long-C.11.0.gr,1048576,dial-random,TIMEOUT/ERR
Long-C,Long-C.12.0.gr,1048576,dijkstra-single,231.0
Long-C,Long-C.12.0.gr,1048576,dijkstra-random,222.84
Long-C,Long-C.12.0.gr,1048576,radixheap-single,317.62
Long-C,Long-C.12.0.gr,1048576,radixheap-random,315.29
Long-C,Long-C.12.0.gr,1048576,dial-single,TIMEOUT/ERR
Long-C,Long-C.12.0.gr,1048576,dial-random,TIMEOUT/ERR
Long-C,Long-C.13.0.gr,1048576,dijkstra-single,229.09
Long-C,Long-C.13.0.gr,1048576,dijkstra-random,217.5
Long-C,Long-C.13.0.gr,1048576,radixheap-single,315.1
Long-C,Long-C.13.0.gr,1048576,radixheap-random,312.78
Long-C,Long-C.13.0.gr,1048576,dial-single,TIMEOUT/ERR
Long-C,Long-C.13.0.gr,1048576,dial-random,TIMEOUT/ERR
Long-C,Long-C.14.0.gr,1048576,dijkstra-single,225.76
Long-C,Long-C.14.0.gr,1048576,dijkstra-random,225.43
Long-C,Long-C.14.0.gr,1048576,radixheap-single,320.89
Long-C,Long-C.14.0.gr,1048576,radixheap-random,322.74
Long-C,Long-C.14.0.gr,1048576,dial-single,TIMEOUT/ERR
Long-C,Long-C.14.0.gr,1048576,dial-random,TIMEOUT/ERR
Long-C,Long-C.15.0.gr,1048576,dijkstra-single,253.69
Long-C,Long-C.15.0.gr,1048576,dijkstra-random,219.41
Long-C,Long-C.15.0.gr,1048576,radixheap-single,322.99
Long-C,Long-C.15.0.gr,1048576,radixheap-random,319.29
Long-C,Long-C.15.0.gr,1048576,dial-single,TIMEOUT/ERR
Long-C,Long-C.15.0.gr,1048576,dial-random,TIMEOUT/ERR
Square-n,Square-n.10.0.gr,1024,dijkstra-single,0.14
Square-n,Square-n.10.0.gr,1024,dijkstra-random,0.12
Square-n,Square-n.10.0.gr,1024,radixheap-single,0.35
Square-n,Square-n.10.0.gr,1024,radixheap-random,0.39
Square-n,Square-n.10.0.gr,1024,dial-single,0.23
Square-n,Square-n.10.0.gr,1024,dial-random,0.19
Square-n,Square-n.11.0.gr,2025,dijkstra-single,0.26
Square-n,Square-n.11.0.gr,2025,dijkstra-random,0.2
Square-n,Square-n.11.0.gr,2025,radixheap-single,0.46
Square-n,Square-n.11.0.gr,2025,radixheap-random,0.47
Square-n,Square-n.11.0.gr,2025,dial-single,0.43
Square-n,Square-n.11.0.gr,2025,dial-random,0.6
Square-n,Square-n.12.0.gr,4096,dijkstra-single,0.47
Square-n,Square-n.12.0.gr,4096,dijkstra-random,0.44
Square-n,Square-n.12.0.gr,4096,radixheap-single,0.79
Square-n,Square-n.12.0.gr,4096,radixheap-random,0.68
Square-n,Square-n.12.0.gr,4096,dial-single,0.99
Square-n,Square-n.12.0.gr,4096,dial-random,1.02
Square-n,Square-n.13.0.gr,8190,dijkstra-single,1.3
Square-n,Square-n.13.0.gr,8190,dijkstra-random,0.97
Square-n,Square-n.13.0.gr,8190,radixheap-single,2.08
Square-n,Square-n.13.0.gr,8190,radixheap-random,1.8
Square-n,Square-n.13.0.gr,8190,dial-single,2.48
Square-n,Square-n.13.0.gr,8190,dial-random,2.01
Square-n,Square-n.14.0.gr,16384,dijkstra-single,2.26
Square-n,Square-n.14.0.gr,16384,dijkstra-random,2.01
Square-n,Square-n.14.0.gr,16384,radixheap-single,3.07
Square-n,Square-n.14.0.gr,16384,radixheap-random,3.04
Square-n,Square-n.14.0.gr,16384,dial-single,5.83
Square-n,Square-n.14.0.gr,16384,dial-random,5.19
Square-n,Square-n.15.0.gr,32761,dijkstra-single,4.83
Square-n,Square-n.15.0.gr,32761,dijkstra-random,4.31
Square-n,Square-n.15.0.gr,32761,radixheap-single,7.04
Square-n,Square-n.15.0.gr,32761,radixheap-random,5.68
Square-n,Square-n.15.0.gr,32761,dial-single,16.42
Square-n,Square-n.15.0.gr,32761,dial-random,12.9
Square-n,Square-n.16.0.gr,65536,dijkstra-single,10.76
Square-n,Square-n.16.0.gr,65536,dijkstra-random,9.11
Square-n,Square-n.16.0.gr,65536,radixheap-single,14.34
Square-n,Square-n.16.0.gr,65536,radixheap-random,12.52
Square-n,Square-n.16.0.gr,65536,dial-single,40.83
Square-n,Square-n.16.0.gr,65536,dial-random,38.27
Square-n,Square-n.17.0.gr,131044,dijkstra-single,24.52
Square-n,Square-n.17.0.gr,131044,dijkstra-random,23.07
Square-n,Square-n.17.0.gr,131044,radixheap-single,32.24
Square-n,Square-n.17.0.gr,131044,radixheap-random,28.55
Square-n,Square-n.17.0.gr,131044,dial-single,101.63
Square-n,Square-n.17.0.gr,131044,dial-random,101.51
Square-n,Square-n.18.0.gr,262144,dijkstra-single,66.66
Square-n,Square-n.18.0.gr,262144,dijkstra-random,54.8
Square-n,Square-n.18.0.gr,262144,radixheap-single,79.3
Square-n,Square-n.18.0.gr,262144,radixheap-random,69.83
Square-n,Square-n.18.0.gr,262144,dial-single,238.91
Square-n,Square-n.18.0.gr,262144,dial-random,284.19
Square-n,Square-n.19.0.gr,524176,dijkstra-single,148.72
Square-n,Square-n.19.0.gr,524176,dijkstra-random,136.17
Square-n,Square-n.19.0.gr,524176,radixheap-single,169.68
Square-n,Square-n.19.0.gr,524176,radixheap-random,164.38
Square-n,Square-n.19.0.gr,524176,dial-single,751.03
Square-n,Square-n.19.0.gr,524176,dial-random,763.36
Square-n,Square-n.20.0.gr,1048576,dijkstra-single,328.01
Square-n,Square-n.20.0.gr,1048576,dijkstra-random,301.22
Square-n,Square-n.20.0.gr,1048576,radixheap-single,383.27
Square-n,Square-n.20.0.gr,1048576,radixheap-random,343.11
Square-n,Square-n.20.0.gr,1048576,dial-single,2018.39
Square-n,Square-n.20.0.gr,1048576,dial-random,2249.37
Square-n,Square-n.21.0.gr,2096704,dijkstra-single,691.95
Square-n,Square-n.21.0.gr,2096704,dijkstra-random,673.93
