n,B,U,C,D,D-C
7000,185,2599,66292,81867,15575
7000,94,2569,64499,83653,19154
7000,111,2575,79055,91480,12425
7000,39,2583,62081,72414,10333
7000,259,2525,61236,72260,11024
7000,47,2536,61881,92865,30984
7000,9,2585,56813,75730,18917
7000,120,2562,60743,77697,16954
7000,156,2614,57913,80068,22155
7000,89,2588,75244,82173,6929
8000,75,2945,72724,94939,22215
8000,154,2967,73466,89466,16000
8000,54,2955,72015,110652,38637
8000,165,2929,74983,96208,21225
8000,82,2905,78057,95691,17634
8000,32,2967,74216,115359,41143
8000,77,2917,83185,83765,580
8000,61,2970,70870,95340,24470
8000,141,2960,72243,99245,27002
8000,91,2930,88935,98831,9896
8000,166,2952,74107,92494,18387
8000,118,2929,75155,88404,13249
8000,19,2967,75877,101768,25891
8000,140,2933,94121,114515,20394
8000,54,2914,70133,94276,24143
8000,51,2927,106819,107402,583
8000,63,2963,72910,108066,35156
8000,42,2953,75516,113750,38234
8000,178,2926,73181,89018,15837
8000,160,2991,71957,97508,25551
8000,186,2934,73659,79967,6308
8000,80,2917,66450,87172,20722
8000,202,2993,82196,97384,15188
8000,100,2936,69818,85394,15576
8000,58,2986,71644,90518,18874
8000,39,2974,67973,101956,33983
8000,100,2905,71021,89824,18803
8000,189,2969,76951,96229,19278
8000,72,2917,70619,85067,14448
8000,20,2942,64683,97018,32335
8000,22,2960,63508,82307,18799
8000,150,2914,83878,108446,24568
8000,43,2938,68494,88246,19752
8000,219,2987,69432,94690,25258
8000,68,2917,75785,85811,10026
8000,90,2966,71376,90226,18850
8000,11,2953,82565,105441,22876
8000,82,2961,84508,99656,15148
8000,166,2877,104302,119372,15070
8000,90,2970,75453,100748,25295
8000,31,2931,71830,94174,22344
8000,137,2930,76572,92748,16176
8000,201,2932,90272,98195,7923
8000,116,2986,73753,79617,5864
8000,74,2879,99080,108931,9851
8000,181,2953,71058,100409,29351
8000,242,2900,71896,96527,24631
8000,197,2954,70311,109649,39338
8000,162,2921,70129,85323,15194
8000,24,2936,77203,95351,18148
9000,101,3278,94667,120113,25446
9000,165,3300,80545,115497,34952
9000,24,3345,86976,113882,26906
9000,114,3320,75991,96294,20303
9000,36,3295,87206,96918,9712
9000,328,3282,81068,111250,30182
9000,107,3310,93328,116546,23218
9000,59,3316,83997,96141,12144
9000,82,3286,84580,108279,23699
9000,120,3333,85762,92528,6766
9000,210,3370,85081,109975,24894
9000,42,3342,77817,141641,63824
9000,151,3287,75736,98928,23192
9000,25,3270,87178,115277,28099
9000,67,3320,85234,118524,33290
9000,15,3266,75726,117308,41582
9000,77,3349,92688,125585,32897
9000,206,3363,76680,134151,57471
9000,180,3283,88511,97665,9154
9000,67,3321,75821,100670,24849
9000,174,3372,103265,114702,11437
9000,127,3363,85497,106569,21072
9000,207,3329,81234,112873,31639
9000,207,3384,77540,102113,24573
9000,27,3335,69793,117779,47986
9000,109,3316,80597,126130,45533
9000,130,3298,89819,104221,14402
9000,101,3330,79884,132221,52337
9000,52,3287,86268,94981,8713
9000,122,3317,82358,108358,26000
9000,88,3306,89398,118554,29156
9000,130,3290,85528,105754,20226
9000,198,3266,74992,95148,20156
9000,104,3288,82192,93982,11790
9000,30,3284,79935,101997,22062
9000,139,3336,78183,111867,33684
9000,100,3316,75622,98951,23329
9000,53,3346,79097,113004,33907
9000,217,3295,77857,91917,14060
9000,125,3243,124843,143341,18498
9000,84,3298,73661,120227,46566
9000,94,3331,88807,97886,9079
9000,182,3298,85579,95367,9788
9000,17,3310,96754,109240,12486
9000,44,3346,86381,97982,11601
9000,193,3352,74470,98358,23888
9000,98,3278,84328,92681,8353
9000,103,3302,79759,106700,26941
9000,157,3324,71505,100309,28804
9000,104,3309,85651,98807,13156
10000,186,3695,101252,131912,30660
10000,80,3727,90708,151333,60625
10000,129,3650,105661,118355,12694
10000,132,3724,90156,108606,18450
10000,147,3662,90967,119809,28842
10000,131,3722,118149,120506,2357
10000,72,3658,103963,122716,18753
10000,135,3675,92638,143331,50693
10000,94,3683,110370,114634,4264
10000,139,3700,82682,121145,38463
10000,130,3705,93982,121381,27399
10000,208,3640,89882,114967,25085
10000,145,3639,103923,113917,9994
10000,157,3649,79096,104707,25611
10000,233,3693,99236,127726,28490
10000,97,3666,88747,104446,15699
10000,261,3672,105681,129375,23694
10000,215,3677,84053,124585,40532
10000,113,3721,99024,102309,3285
10000,234,3677,89032,130759,41727
10000,145,3697,95557,120423,24866
10000,198,3723,107686,123177,15491
10000,140,3723,103544,132651,29107
10000,145,3655,93961,123892,29931
10000,114,3674,109546,138335,28789
10000,47,3697,94500,122829,28329
10000,136,3675,109883,111267,1384
10000,157,3700,85065,121289,36224
10000,119,3724,104311,130850,26539
10000,161,3748,107125,155841,48716
10000,54,3704,97516,123083,25567
10000,112,3623,101163,113180,12017
10000,218,3677,101984,117249,15265
10000,38,3674,95071,113162,18091
10000,109,3720,96299,111715,15416
10000,97,3683,117174,117579,405
10000,177,3707,91254,113122,21868
10000,141,3709,83866,116540,32674
10000,68,3683,91640,113928,22288
10000,125,3707,107426,123741,16315
10000,96,3685,88228,123386,35158
10000,101,3725,89264,116507,27243
10000,81,3658,89186,118520,29334
10000,142,3658,145406,146202,796
10000,27,3691,88709,142814,54105
10000,50,3688,81529,103861,22332
10000,9,3690,78919,111651,32732
10000,103,3701,88088,145624,57536
10000,137,3688,95881,128103,32222
10000,135,3693,115518,124542,9024
